"Age recode with <1 year olds","Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)","Crude Rate","Count","Population"
0,0,0.0,0,6314810
0,1,0.0,0,1454185
0,2,0.0,0,220975
0,3,0.0,0,1728671
0,4,0.0,0,4887870
0,5,~,0,0
1,0,0.0,1,25507275
1,1,0.0,0,5977205
1,2,0.0,0,899989
1,3,0.0,0,6938483
1,4,0.0,0,19072565
1,5,~,0,0
2,0,0.0,1,32310376
2,1,0.0,0,7783425
2,2,0.0,0,1160192
2,3,0.0,0,8312377
2,4,0.0,0,22661276
2,5,~,0,0
3,0,0.0,7,33464854
3,1,0.0,0,7799730
3,2,0.0,0,1198766
3,3,0.0,1,8455636
3,4,0.0,2,21790328
3,5,~,0,0
4,0,0.1,24,33702975
4,1,0.1,9,7627922
4,2,0.3,3,1169357
4,3,0.0,4,8532775
4,4,0.1,20,21165051
4,5,~,0,0
5,0,0.7,228,34734757
5,1,1.2,87,7472048
5,2,0.7,8,1090304
5,3,0.7,68,9598459
5,4,0.7,150,21801851
5,5,~,8,0
6,0,4.2,1606,37861202
6,1,6.3,494,7836136
6,2,4.4,45,1031417
6,3,3.9,451,11465786
6,4,3.4,758,22306934
6,5,~,18,0
7,0,13.5,5408,40189083
7,1,17.9,1400,7808095
7,2,11.8,116,983271
7,3,13.6,1587,11651696
7,4,10.3,2164,21028500
7,5,~,69,0
8,0,31.6,13038,41294211
8,1,37.9,2881,7608298
8,2,29.5,277,939634
8,3,32.4,3661,11283265
8,4,22.9,4338,18967511
8,5,~,134,0
9,0,65.0,27125,41699278
9,1,69.2,4976,7194394
9,2,51.7,463,895436
9,3,67.3,7169,10646054
9,4,47.8,7930,16584491
9,5,~,256,0
10,0,104.8,43768,41764970
10,1,101.8,6713,6595264
10,2,79.4,662,833410
10,3,103.0,10132,9833457
10,4,74.0,10337,13970211
10,5,~,354,0
11,0,130.9,52223,39887179
11,1,127.5,7444,5838449
11,2,102.7,768,748133
11,3,117.5,10317,8778358
11,4,91.1,10361,11372982
11,5,~,366,0
12,0,155.5,56079,36070005
12,1,156.1,7579,4856709
12,2,120.4,758,629736
12,3,133.1,10058,7554722
12,4,110.9,9856,8884743
12,5,~,382,0
13,0,198.3,61065,30793043
13,1,189.7,7188,3788504
13,2,151.1,736,486964
13,3,156.1,9854,6313765
13,4,139.3,9320,6692597
13,5,~,367,0
14,0,244.5,62620,25610223
14,1,224.9,6441,2864481
14,2,166.3,596,358455
14,3,174.8,9026,5164085
14,4,170.9,8431,4932327
14,5,~,329,0
15,0,276.3,57872,20943103
15,1,252.5,5232,2071808
15,2,191.1,485,253810
15,3,177.3,7170,4043495
15,4,182.0,6511,3577709
15,5,~,241,0
16,0,293.6,48994,16687834
16,1,270.2,3979,1472872
16,2,182.3,308,168907
16,3,162.2,4881,3008810
16,4,188.4,4725,2508450
16,5,~,164,0
17,0,292.6,36140,12352524
17,1,269.9,2580,955841
17,2,176.3,186,105530
17,3,153.4,3183,2074468
17,4,176.0,2923,1660942
17,5,~,113,0
18,0,265.4,32875,12386954
18,1,269.7,2307,855355
18,2,147.8,130,87957
18,3,125.9,2442,1939468
18,4,162.9,2340,1436640
18,5,~,116,0
19,0,~,0,0
19,1,~,0,0
19,2,~,0,0
19,3,~,0,0
19,4,~,0,0
19,5,~,0,0
