"Age recode with <1 year olds","Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)","Crude Rate","Count","Population"
0,0,0.0,0,6314810
0,1,0.0,0,1454185
0,2,0.0,0,220975
0,3,0.1,1,1728671
0,4,0.0,2,4887870
0,5,~,0,0
1,0,0.0,8,25507275
1,1,0.0,1,5977205
1,2,0.0,0,899989
1,3,0.0,0,6938483
1,4,0.0,4,19072565
1,5,~,0,0
2,0,0.0,5,32310376
2,1,0.0,1,7783425
2,2,0.0,0,1160192
2,3,0.0,0,8312377
2,4,0.0,0,22661276
2,5,~,0,0
3,0,0.0,2,33464854
3,1,0.0,1,7799730
3,2,0.0,0,1198766
3,3,0.0,1,8455636
3,4,0.0,1,21790328
3,5,~,0,0
4,0,0.0,6,33702975
4,1,0.0,1,7627922
4,2,0.0,0,1169357
4,3,0.0,1,8532775
4,4,0.0,2,21165051
4,5,~,0,0
5,0,0.0,2,34734757
5,1,0.0,3,7472048
5,2,0.0,0,1090304
5,3,0.0,1,9598459
5,4,0.0,4,21801851
5,5,~,1,0
6,0,0.0,6,37861202
6,1,0.0,2,7836136
6,2,0.0,0,1031417
6,3,0.0,2,11465786
6,4,0.0,3,22306934
6,5,~,1,0
7,0,0.0,14,40189083
7,1,0.1,7,7808095
7,2,0.0,0,983271
7,3,0.0,2,11651696
7,4,0.0,4,21028500
7,5,~,1,0
8,0,0.3,110,41294211
8,1,0.8,64,7608298
8,2,0.4,4,939634
8,3,0.1,14,11283265
8,4,0.2,36,18967511
8,5,~,8,0
9,0,3.2,1353,41699278
9,1,9.7,695,7194394
9,2,1.6,14,895436
9,3,0.8,89,10646054
9,4,2.0,333,16584491
9,5,~,48,0
10,0,16.8,7004,41764970
10,1,42.9,2827,6595264
10,2,7.8,65,833410
10,3,4.6,448,9833457
10,4,9.4,1314,13970211
10,5,~,228,0
11,0,62.6,24953,39887179
11,1,117.6,6867,5838449
11,2,25.8,193,748133
11,3,19.6,1722,8778358
11,4,36.4,4142,11372982
11,5,~,682,0
12,0,143.1,51607,36070005
12,1,247.9,12042,4856709
12,2,63.8,402,629736
12,3,54.9,4150,7554722
12,4,89.0,7910,8884743
12,5,~,1359,0
13,0,250.0,76990,30793043
13,1,395.8,14995,3788504
13,2,125.3,610,486964
13,3,106.5,6727,6313765
13,4,165.3,11061,6692597
13,5,~,1941,0
14,0,380.7,97496,25610223
14,1,542.5,15541,2864481
14,2,189.4,679,358455
14,3,198.6,10258,5164085
14,4,284.4,14026,4932327
14,5,~,2238,0
15,0,415.9,87105,20943103
15,1,514.8,10665,2071808
15,2,231.3,587,253810
15,3,241.0,9745,4043495
15,4,314.6,11256,3577709
15,5,~,1851,0
16,0,374.8,62539,16687834
16,1,441.5,6502,1472872
16,2,216.7,366,168907
16,3,257.8,7756,3008810
16,4,305.4,7660,2508450
16,5,~,1357,0
17,0,283.1,34975,12352524
17,1,318.5,3044,955841
17,2,203.7,215,105530
17,3,214.1,4441,2074468
17,4,234.4,3894,1660942
17,5,~,706,0
18,0,191.1,23671,12386954
18,1,233.4,1996,855355
18,2,166.0,146,87957
18,3,155.1,3008,1939468
18,4,179.1,2573,1436640
18,5,~,322,0
19,0,~,0,0
19,1,~,0,0
19,2,~,0,0
19,3,~,0,0
19,4,~,0,0
19,5,~,0,0
