"Age at death with <1 yr olds","Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)","Crude Rate","Count","Population"
0,0,0.0,0,6314810
0,1,0.0,0,1454185
0,2,0.0,0,220975
0,3,0.0,0,1728671
0,4,0.0,1,4887870
0,5,~,0,0
1,0,0.0,2,25507275
1,1,0.0,0,5977205
1,2,0.0,0,899989
1,3,0.0,1,6938483
1,4,0.0,1,19072565
1,5,~,0,0
2,0,0.0,0,32310376
2,1,0.0,2,7783425
2,2,0.0,0,1160192
2,3,0.0,0,8312377
2,4,0.0,0,22661276
2,5,~,0,0
3,0,0.0,1,33464854
3,1,0.0,0,7799730
3,2,0.0,0,1198766
3,3,0.0,0,8455636
3,4,0.0,0,21790328
3,5,~,0,0
4,0,0.0,3,33702975
4,1,0.0,2,7627922
4,2,0.0,0,1169357
4,3,0.0,1,8532775
4,4,0.0,2,21165051
4,5,~,0,0
5,0,0.0,2,34734757
5,1,0.0,1,7472048
5,2,0.0,0,1090304
5,3,0.0,0,9598459
5,4,0.0,2,21801851
5,5,~,0,0
6,0,0.0,4,37861202
6,1,0.0,1,7836136
6,2,0.0,0,1031417
6,3,0.0,1,11465786
6,4,0.0,1,22306934
6,5,~,0,0
7,0,0.0,5,40189083
7,1,0.0,1,7808095
7,2,0.0,0,983271
7,3,0.0,1,11651696
7,4,0.0,2,21028500
7,5,~,0,0
8,0,0.0,7,41294211
8,1,0.0,1,7608298
8,2,0.1,1,939634
8,3,0.0,0,11283265
8,4,0.0,3,18967511
8,5,~,0,0
9,0,0.1,45,41699278
9,1,0.3,20,7194394
9,2,0.0,0,895436
9,3,0.1,6,10646054
9,4,0.1,17,16584491
9,5,~,1,0
10,0,0.6,233,41764970
10,1,1.7,114,6595264
10,2,0.5,4,833410
10,3,0.1,8,9833457
10,4,0.4,61,13970211
10,5,~,0,0
11,0,2.2,884,39887179
11,1,7.8,458,5838449
11,2,2.8,21,748133
11,3,0.8,68,8778358
11,4,1.8,207,11372982
11,5,~,6,0
12,0,7.8,2817,36070005
12,1,24.4,1185,4856709
12,2,7.0,44,629736
12,3,2.5,186,7554722
12,4,5.8,514,8884743
12,5,~,16,0
13,0,22.0,6776,30793043
13,1,64.9,2459,3788504
13,2,22.4,109,486964
13,3,8.1,510,6313765
13,4,16.8,1122,6692597
13,5,~,38,0
14,0,54.0,13841,25610223
14,1,147.3,4218,2864481
14,2,42.1,151,358455
14,3,20.7,1068,5164085
14,4,41.9,2066,4932327
14,5,~,88,0
15,0,119.7,25075,20943103
15,1,271.3,5620,2071808
15,2,103.2,262,253810
15,3,47.2,1907,4043495
15,4,97.1,3474,3577709
15,5,~,145,0
16,0,231.2,38586,16687834
16,1,442.5,6518,1472872
16,2,188.3,318,168907
16,3,111.6,3357,3008810
16,4,188.5,4729,2508450
16,5,~,245,0
17,0,407.5,50340,12352524
17,1,655.5,6266,955841
17,2,340.2,359,105530
17,3,227.4,4718,2074468
17,4,335.5,5572,1660942
17,5,~,299,0
18,0,719.2,89081,12386954
18,1,855.7,7319,855355
18,2,463.9,408,87957
18,3,494.5,9591,1939468
18,4,617.2,8867,1436640
18,5,~,564,0
